Percentage served,Time in ms
0,0.632
1,0.665
2,0.677
3,0.686
4,0.693
5,0.696
6,0.701
7,0.705
8,0.708
9,0.711
10,0.713
11,0.717
12,0.720
13,0.722
14,0.724
15,0.726
16,0.728
17,0.730
18,0.733
19,0.734
20,0.736
21,0.738
22,0.740
23,0.741
24,0.743
25,0.745
26,0.746
27,0.748
28,0.749
29,0.751
30,0.753
31,0.754
32,0.756
33,0.757
34,0.759
35,0.760
36,0.761
37,0.763
38,0.765
39,0.767
40,0.768
41,0.770
42,0.771
43,0.773
44,0.775
45,0.776
46,0.778
47,0.779
48,0.781
49,0.782
50,0.784
51,0.785
52,0.787
53,0.788
54,0.790
55,0.791
56,0.793
57,0.794
58,0.796
59,0.797
60,0.799
61,0.801
62,0.803
63,0.805
64,0.807
65,0.809
66,0.811
67,0.813
68,0.814
69,0.816
70,0.818
71,0.821
72,0.823
73,0.825
74,0.827
75,0.830
76,0.833
77,0.836
78,0.839
79,0.842
80,0.846
81,0.851
82,0.855
83,0.859
84,0.864
85,0.869
86,0.873
87,0.879
88,0.886
89,0.893
90,0.902
91,0.912
92,0.927
93,0.941
94,0.963
95,0.992
96,1.066
97,1.282
98,1.902
99,3.213
100,11.041
