Percentage served,Time in ms
0,0.430
1,0.443
2,0.446
3,0.448
4,0.449
5,0.451
6,0.452
7,0.453
8,0.454
9,0.454
10,0.455
11,0.456
12,0.456
13,0.457
14,0.458
15,0.458
16,0.459
17,0.459
18,0.460
19,0.460
20,0.461
21,0.462
22,0.462
23,0.462
24,0.463
25,0.464
26,0.464
27,0.465
28,0.465
29,0.466
30,0.466
31,0.467
32,0.467
33,0.468
34,0.468
35,0.469
36,0.469
37,0.470
38,0.470
39,0.471
40,0.471
41,0.472
42,0.472
43,0.473
44,0.473
45,0.474
46,0.474
47,0.475
48,0.475
49,0.475
50,0.476
51,0.477
52,0.477
53,0.478
54,0.478
55,0.479
56,0.479
57,0.480
58,0.480
59,0.481
60,0.481
61,0.482
62,0.482
63,0.483
64,0.483
65,0.484
66,0.484
67,0.485
68,0.486
69,0.486
70,0.487
71,0.488
72,0.489
73,0.489
74,0.490
75,0.491
76,0.492
77,0.493
78,0.494
79,0.495
80,0.496
81,0.497
82,0.498
83,0.500
84,0.501
85,0.502
86,0.504
87,0.506
88,0.507
89,0.509
90,0.511
91,0.514
92,0.517
93,0.520
94,0.523
95,0.528
96,0.534
97,0.541
98,0.555
99,0.594
100,4.067
