Percentage served,Time in ms
0,0.887
1,0.920
2,0.926
3,0.930
4,0.934
5,0.937
6,0.940
7,0.942
8,0.945
9,0.947
10,0.949
11,0.951
12,0.953
13,0.954
14,0.956
15,0.958
16,0.959
17,0.961
18,0.962
19,0.964
20,0.965
21,0.966
22,0.968
23,0.969
24,0.970
25,0.972
26,0.973
27,0.974
28,0.976
29,0.977
30,0.978
31,0.979
32,0.981
33,0.982
34,0.983
35,0.984
36,0.986
37,0.987
38,0.988
39,0.990
40,0.991
41,0.992
42,0.993
43,0.995
44,0.996
45,0.997
46,0.999
47,1.000
48,1.001
49,1.003
50,1.004
51,1.006
52,1.007
53,1.008
54,1.010
55,1.011
56,1.013
57,1.014
58,1.016
59,1.017
60,1.019
61,1.020
62,1.022
63,1.024
64,1.026
65,1.028
66,1.030
67,1.032
68,1.034
69,1.036
70,1.038
71,1.040
72,1.042
73,1.045
74,1.047
75,1.049
76,1.052
77,1.055
78,1.058
79,1.061
80,1.064
81,1.068
82,1.072
83,1.076
84,1.080
85,1.084
86,1.089
87,1.094
88,1.100
89,1.106
90,1.115
91,1.126
92,1.136
93,1.150
94,1.169
95,1.206
96,1.276
97,1.499
98,1.808
99,2.258
100,12.064
