Percentage served,Time in ms
0,0.424
1,0.439
2,0.442
3,0.445
4,0.447
5,0.449
6,0.451
7,0.452
8,0.453
9,0.454
10,0.455
11,0.457
12,0.457
13,0.458
14,0.459
15,0.460
16,0.461
17,0.462
18,0.463
19,0.463
20,0.464
21,0.465
22,0.465
23,0.466
24,0.467
25,0.467
26,0.468
27,0.469
28,0.469
29,0.470
30,0.470
31,0.471
32,0.472
33,0.472
34,0.473
35,0.474
36,0.474
37,0.475
38,0.476
39,0.476
40,0.477
41,0.478
42,0.479
43,0.479
44,0.480
45,0.481
46,0.482
47,0.482
48,0.483
49,0.484
50,0.485
51,0.486
52,0.487
53,0.487
54,0.489
55,0.489
56,0.490
57,0.492
58,0.493
59,0.494
60,0.495
61,0.496
62,0.497
63,0.498
64,0.500
65,0.501
66,0.502
67,0.504
68,0.506
69,0.507
70,0.509
71,0.511
72,0.513
73,0.515
74,0.517
75,0.519
76,0.521
77,0.524
78,0.527
79,0.530
80,0.533
81,0.537
82,0.540
83,0.544
84,0.548
85,0.552
86,0.556
87,0.560
88,0.565
89,0.570
90,0.575
91,0.581
92,0.587
93,0.595
94,0.602
95,0.612
96,0.628
97,0.649
98,0.683
99,0.859
100,16.158
