Percentage served,Time in ms
0,17.363
1,20.876
2,22.118
3,22.226
4,22.313
5,22.359
6,22.399
7,22.432
8,22.461
9,22.499
10,22.526
11,22.559
12,22.602
13,22.622
14,22.643
15,22.661
16,22.688
17,22.723
18,22.752
19,22.780
20,22.811
21,22.846
22,22.879
23,22.918
24,22.954
25,22.993
26,23.026
27,23.064
28,23.094
29,23.121
30,23.157
31,23.191
32,23.226
33,23.255
34,23.281
35,23.304
36,23.336
37,23.363
38,23.385
39,23.412
40,23.438
41,23.467
42,23.500
43,23.533
44,23.557
45,23.596
46,23.621
47,23.650
48,23.691
49,23.734
50,23.767
51,23.803
52,23.842
53,23.893
54,23.949
55,23.991
56,24.029
57,24.076
58,24.130
59,24.168
60,24.230
61,24.271
62,24.320
63,24.363
64,24.409
65,24.456
66,24.506
67,24.570
68,24.644
69,24.722
70,24.800
71,24.884
72,24.975
73,25.083
74,25.207
75,25.384
76,25.566
77,25.931
78,26.861
79,27.557
80,28.916
81,30.895
82,32.266
83,32.797
84,33.021
85,33.422
86,55.221
87,63.423
88,71.580
89,232.337
90,261.836
91,490.571
92,889.084
93,920.569
94,928.658
95,4600.897
96,8534.680
97,14419.540
98,14428.631
99,14436.895
100,28499.788
